STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT09,WT11
USC00029464,"WITTMANN 1 SE, AZ US",2/4/1962,,,0,0,0,74,39,66,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/5/1962,,,0,0,0,75,43,67,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/6/1962,,,0,0,0,75,42,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/7/1962,,,0,0,0,69,46,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/8/1962,,,0.27,0,0,65,46,62,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/9/1962,,,0,0,0,72,51,69,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/10/1962,,,0,0,0,78,49,74,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/11/1962,,,0,0,0,74,60,62,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/12/1962,,,0.15,0,0,62,53,56,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/13/1962,,,0,0,0,72,48,67,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/14/1962,,,0.02,0,0,69,46,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/15/1962,,,0,0,0,70,39,64,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/16/1962,,,0,0,0,68,46,63,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/17/1962,,,0,0,0,67,37,61,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/18/1962,,,0,0,0,65,35,57,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/19/1962,,,0,0,0,70,39,67,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/20/1962,,,0.1,0,0,68,43,54,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/21/1962,,,0.19,0,0,58,41,52,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/22/1962,,,0,0,0,59,42,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/23/1962,,,0,0,0,58,36,55,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/24/1962,,,0,0,0,61,37,56,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/25/1962,,,0.08,0,0,63,41,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/26/1962,,,0,0,0,58,37,50,,1,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/27/1962,,,0.05,0,0,53,35,47,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",2/28/1962,,,0,0,0,56,26,53,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/1/1962,,,0,0,0,65,32,61,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/2/1962,,,0,0,0,65,32,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/3/1962,,,0,0,0,66,34,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/4/1962,,,0,0,0,68,32,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/5/1962,,,0,0,0,73,40,67,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/6/1962,,,0,0,0,72,49,68,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/7/1962,,,0,0,0,68,48,57,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/8/1962,,,0,0,0,65,38,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/9/1962,,,0,0,0,65,35,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/10/1962,,,0.25,0,0,60,34,55,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/11/1962,,,0,0,0,58,31,55,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/12/1962,,,0,0,0,62,32,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/13/1962,,,0,0,0,59,34,57,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/14/1962,,,0,0,0,62,32,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/15/1962,,,0,0,0,68,32,63,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/16/1962,,,0,0,0,70,35,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/17/1962,,,0,0,0,70,37,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/18/1962,,,0,0,0,73,36,70,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/19/1962,,,0,0,0,68,36,55,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/20/1962,,,0.33,0,0,58,45,56,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/21/1962,,,0.19,0,0,60,45,57,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/22/1962,,,0,0,0,64,41,61,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/23/1962,,,0,0,0,62,42,58,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/24/1962,,,0,0,0,69,35,69,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/25/1962,,,0,0,0,82,38,79,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/26/1962,,,0,0,0,87,45,70,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/27/1962,,,0,0,0,86,48,80,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/28/1962,,,0,0,0,82,47,78,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/29/1962,,,0,0,0,78,45,65,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/30/1962,,,0,0,0,75,42,74,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",3/31/1962,,,0,0,0,80,42,77,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/1/1962,,,0,0,0,85,43,80,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/2/1962,,,0,0,0,83,47,78,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/3/1962,,,0,0,0,78,46,73,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/4/1962,,,0,0,0,84,45,80,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/5/1962,,,0,0,0,90,51,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/6/1962,,,0,0,0,87,56,83,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/7/1962,,,0,0,0,91,49,88,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/8/1962,,,0,0,0,94,55,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/9/1962,,,0,0,0,89,56,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/10/1962,,,0,0,0,87,55,82,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/11/1962,,,0,0,0,89,53,82,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/12/1962,,,0,0,0,95,51,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/13/1962,,,0,0,0,98,56,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/14/1962,,,0,0,0,99,57,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/15/1962,,,0,0,0,100,59,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/16/1962,,,0,0,0,99,62,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/17/1962,,,0,0,0,100,59,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/18/1962,,,0,0,0,100,59,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/19/1962,,,0,0,0,97,58,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/20/1962,,,0,0,0,90,58,81,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/21/1962,,,0,0,0,88,50,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/22/1962,,,0,0,0,92,58,88,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/23/1962,,,0,0,0,95,60,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/24/1962,,,0,0,0,96,63,89,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/25/1962,,,0,0,0,87,60,76,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/26/1962,,,0,0,0,83,55,78,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/27/1962,,,0,0,0,86,54,83,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/28/1962,,,0,0,0,85,57,79,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/29/1962,,,0,0,0,81,53,76,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",4/30/1962,,,0,0,0,85,59,77,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/1/1962,,,0,0,0,90,49,87,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/2/1962,,,0,0,0,96,53,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/3/1962,,,0,0,0,100,57,93,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/4/1962,,,0,0,0,100,58,92,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/5/1962,,,0,0,0,100,61,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/6/1962,,,0,0,0,103,67,96,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/7/1962,,,0,0,0,100,64,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/8/1962,,,0,0,0,100,64,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/9/1962,,,0,0,0,100,62,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/10/1962,,,0,0,0,99,64,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/11/1962,,,0,0,0,98,57,88,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/12/1962,,,0,0,0,89,65,75,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/13/1962,,,0,0,0,82,48,78,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/14/1962,,,0,0,0,80,53,72,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/15/1962,,,0,0,0,75,54,70,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/16/1962,,,0,0,0,73,50,70,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/17/1962,,,0,0,0,78,54,74,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/18/1962,,,0,0,0,88,54,84,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/19/1962,,,0,0,0,92,55,84,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/20/1962,,,0,0,0,86,54,77,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/21/1962,,,0,0,0,79,61,75,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/22/1962,,,0,0,0,90,53,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/23/1962,,,0,0,0,93,55,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/24/1962,,,0,0,0,93,55,82,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/25/1962,,,0,0,0,84,59,78,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/26/1962,,,0,0,0,83,57,75,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/27/1962,,,0,0,0,75,55,70,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/28/1962,,,0,0,0,81,53,76,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/29/1962,,,0,0,0,90,53,86,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/30/1962,,,0,0,0,94,62,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",5/31/1962,,,0,0,0,97,60,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/1/1962,,,0,0,0,102,65,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/2/1962,,,0,0,0,102,68,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/3/1962,,,0,0,0,99,68,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/4/1962,,,0,0,0,93,66,87,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/5/1962,,,0,0,0,92,57,88,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/6/1962,,,0,0,0,94,62,89,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/7/1962,,,0,0,0,95,62,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/8/1962,,,0,0,0,99,63,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/9/1962,,,0,0,0,102,62,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/10/1962,,,0,0,0,99,65,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/11/1962,,,0,0,0,99,64,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/12/1962,,,0,0,0,102,62,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/13/1962,,,0,0,0,100,64,93,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/14/1962,,,0,0,0,92,59,82,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/15/1962,,,0,0,0,81,52,74,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/16/1962,,,0,0,0,85,61,82,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/17/1962,,,0,0,0,99,60,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/18/1962,,,0,0,0,105,67,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/19/1962,,,0,0,0,108,70,103,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/20/1962,,,0,0,0,109,68,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/21/1962,,,0,0,0,108,68,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/22/1962,,,0,0,0,110,69,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/23/1962,,,0,0,0,110,67,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/24/1962,,,0,0,0,112,75,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/25/1962,,,0,0,0,113,75,106,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/26/1962,,,0,0,0,110,73,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/27/1962,,,0,0,0,105,76,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/28/1962,,,0,0,0,100,73,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/29/1962,,,0.01,0,0,101,75,97,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",6/30/1962,,,0,0,0,105,71,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/1/1962,,,0,0,0,106,68,103,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/2/1962,,,0,0,0,105,72,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/3/1962,,,0,0,0,101,78,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/4/1962,,,0.02,0,0,98,73,90,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/5/1962,,,0,0,0,105,76,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/6/1962,,,0,0,0,109,72,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/7/1962,,,0,0,0,107,76,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/8/1962,,,0,0,0,107,74,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/9/1962,,,0,0,0,107,78,102,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/10/1962,,,0,0,0,109,79,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/11/1962,,,0,0,0,111,83,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/12/1962,,,0,0,0,104,82,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/13/1962,,,0,0,0,99,68,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/14/1962,,,0,0,0,102,70,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/15/1962,,,0,0,0,103,68,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/16/1962,,,0,0,0,106,73,101,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/17/1962,,,0,0,0,107,74,101,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/18/1962,,,0,0,0,104,76,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/19/1962,,,0,0,0,105,77,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/20/1962,,,0,0,0,111,83,104,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/21/1962,,,0.02,0,0,103,74,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/22/1962,,,0,0,0,106,79,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/23/1962,,,0,0,0,108,82,103,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/24/1962,,,0,0,0,108,80,104,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/25/1962,,,0,0,0,108,80,103,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/26/1962,,,0,0,0,106,76,86,,,,,1,,
USC00029464,"WITTMANN 1 SE, AZ US",7/27/1962,,,0.2,0,0,103,73,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/28/1962,,,0,0,0,106,75,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/29/1962,,,0,0,0,107,78,104,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/30/1962,,,0,0,0,105,73,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",7/31/1962,,,0,0,0,108,78,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/1/1962,,,0,0,0,108,79,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/2/1962,,,0,0,0,105,79,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/3/1962,,,0,0,0,106,74,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/4/1962,,,0,0,0,103,71,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/5/1962,,,0,0,0,104,70,99,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/6/1962,,,0,0,0,107,70,103,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/7/1962,,,0,0,0,108,75,103,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/8/1962,,,0,0,0,107,81,99,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/9/1962,,,0,0,0,108,79,102,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/10/1962,,,0,0,0,111,78,106,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/11/1962,,,0,0,0,114,77,108,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/12/1962,,,0,0,0,114,78,104,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/13/1962,,,0,0,0,114,81,107,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/14/1962,,,0,0,0,115,82,107,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/15/1962,,,0,0,0,113,85,106,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/16/1962,,,0,0,0,111,84,106,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/17/1962,,,0,0,0,108,81,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/18/1962,,,0,0,0,106,79,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/19/1962,,,0,0,0,104,79,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/20/1962,,,0,0,0,108,77,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/21/1962,,,0,0,0,107,76,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/22/1962,,,0,0,0,103,78,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/23/1962,,,0,0,0,103,74,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/24/1962,,,0,0,0,110,74,105,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/25/1962,,,0,0,0,110,74,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/26/1962,,,0,0,0,106,81,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/27/1962,,,0,0,0,109,79,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/28/1962,,,0,0,0,109,78,103,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/29/1962,,,0,0,0,106,74,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/30/1962,,,0,0,0,101,67,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",8/31/1962,,,0,0,0,105,64,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/1/1962,,,0,0,0,106,63,96,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/2/1962,,,0,0,0,108,67,99,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/3/1962,,,0,0,0,104,70,98,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/4/1962,,,0,0,0,100,76,93,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/5/1962,,,0,0,0,100,76,85,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/6/1962,,,0.16,0,0,95,72,80,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/7/1962,,,0,0,0,101,67,93,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/8/1962,,,0,0,0,96,75,91,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/9/1962,,,0,0,0,97,65,89,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/10/1962,,,0,0,0,100,67,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/11/1962,,,0,0,0,102,69,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/12/1962,,,0,0,0,100,70,92,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/13/1962,,,0,0,0,99,73,82,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/14/1962,,,0,0,0,100,74,95,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/15/1962,,,0,0,0,105,73,97,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/16/1962,,,0,0,0,108,76,102,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/17/1962,,,0,0,0,110,77,104,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/18/1962,,,0,0,0,108,76,100,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/19/1962,,,0.05,0,0,109,78,99,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/20/1962,,,0,0,0,103,75,94,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/21/1962,,,0,0,0,101,73,93,,,,,,,
USC00029464,"WITTMANN 1 SE, AZ US",9/22/1962,,,0.08,0,0,93,72,78,,,,,,,
